,Run,Water Flow Rate (gpm),Air Flow Rate (scfm),CO2 Flow Rate (L/min),CO2 concentration in gas-phase @inlet (% v/v),CO2 concentration in gas-phase @outlet (% v/v),D Diameter (m),Lt Height (m),Room Temp (K),Room Pressure (atm),Water Temp (K),Air Density @25C and 1.02 atm (kg/m^3),Molar Mass Air (g/mol),Molar Mass Water (g/mol),R,H,Air Flow Rate (L/min),Water Flow Rate (L/min),Air Molar Flow Rate (mol/min),CO2 Molar Flow Rate (mol/min),Water Molar Flow Rate (mol/min),CO2 mole fraction in Liquid-phase @inlet,CO2 mole fraction in gas-phase @inlet,CO2 mole fraction in gas-phase @outlet,CO2 mole fraction in Liquid-phase @outlet,CO2_transferred,CO2 mole fraction in gas-phase @Equilibrium,K,V,L_V,A,NOG,HOG,superficial_velocity,Kya
0,1,3,5.6,12.5,6.05,5.62,0.1,1.5,298.15,1.022,298.15,1.21049,28.9647,18.02,0.08206,1230,158.5743409152,11.356235351999999,6.6271238415878795,0.522149158579622,630.2017398446171,0,0.0605,0.0562,0.004617376681119227,0.030741873900720244,3.753964781397746e-06,1203.5225048923678,171.0743409152,88.14906632182769,0.07324255754545358,0.2723536818284884,5.507544417720072,0.33650520272257956,5.769996485097921
1,2,3,5.2,12.5,6.51,6.1,0.1,1.5,298.15,1.022,298.15,1.21049,28.9647,18.02,0.08206,1230,147.24760227840002,11.356235351999999,6.153757852903032,0.522149158579622,630.2017398446171,0,0.06509999999999999,0.061,0.004428190777089181,0.027371218747078832,3.600155103324537e-06,1203.5225048923678,159.74760227840002,94.39941850008714,0.0784359395992594,0.13270967580880824,11.302868391909985,0.3124691168138239,4.957924785747473
2,3,3,4.8,12.5,7.0,6.61,0.1,1.5,298.15,1.022,298.15,1.21049,28.9647,18.02,0.08206,1230,135.92086364160002,11.356235351999999,5.680391864218183,0.522149158579622,630.2017398446171,0,0.07,0.0661,0.004240435310838139,0.024189909988911445,3.447508382795235e-06,1203.5225048923678,148.42086364160002,101.60380036637783,0.08442201949141313,0.0941734979513311,15.928048045695409,0.2884330309050682,4.2399212665688815
3,4,3,4.2,12.5,8.29,7.66,0.1,1.5,298.15,1.022,298.15,1.21049,28.9647,18.02,0.08206,1230,118.93075568640002,11.356235351999999,4.970342881190911,0.522149158579622,630.2017398446171,0,0.08289999999999999,0.0766,0.006913701515882198,0.03460269985055428,5.620895541367641e-06,1203.5225048923678,131.4307556864,114.73876252917535,0.0953357848006644,0.15977676870181112,9.388098233476148,0.2523789020419347,3.166496423373358
4,5,3,3.8,12.5,8.91,8.22,0.1,1.5,298.15,1.022,298.15,1.21049,28.9647,18.02,0.08206,1230,107.60401704960002,11.356235351999999,4.496976892506062,0.522149158579622,630.2017398446171,0,0.0891,0.08220000000000001,0.007642312212980932,0.034631969752491165,6.213261961773116e-06,1203.5225048923678,120.10401704960002,125.56005436609797,0.10432713460337573,0.14854803265397692,10.09774396335529,0.228342816133179,2.6676360095884717
